scenario_name,building_name,parameter_set,linearization_type,initial_state_type,demand_controlled_ventilation_type,co2_model_type,humidity_model_type,heating_cooling_session,price_type,time_start,time_end,time_step
wtp_mix_medium_density_1,wtp_mix_medium_density_1,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_2,wtp_mix_medium_density_2,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_3,wtp_mix_medium_density_3,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_4,wtp_mix_medium_density_4,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_5,wtp_mix_medium_density_5,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_6,wtp_mix_medium_density_6,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_7,wtp_mix_medium_density_7,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_8,wtp_mix_medium_density_8,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_9,wtp_mix_medium_density_9,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_10,wtp_mix_medium_density_10,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_11,wtp_mix_medium_density_11,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_12,wtp_mix_medium_density_12,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_13,wtp_mix_medium_density_13,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_14,wtp_mix_medium_density_14,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_15,wtp_mix_medium_density_15,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_16,wtp_mix_medium_density_16,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_17,wtp_mix_medium_density_17,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_18,wtp_mix_medium_density_18,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_19,wtp_mix_medium_density_19,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_20,wtp_mix_medium_density_20,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_21,wtp_mix_medium_density_21,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_22,wtp_mix_medium_density_22,create_parameters,create_linearization,wtp_initial_state,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
